amenity,geometry,name
restaurant,POINT (9.1845058 45.4717374),Torre di Pisa
cafe,POINT (9.1696626 45.4585622),
university,POINT (9.1691011 45.463955),Università Cattolica del Sacro Cuore
restaurant,POINT (9.1740873 45.4623084),California Bakery
restaurant,POINT (9.1729884 45.4682134),Da Cenciaioli
bar,POINT (9.1825646 45.4591258),Gaina café
restaurant,POINT (9.1847903 45.4715625),Ristorante Toscano al Pozzo
restaurant,POINT (9.1652601 45.4670377),Kota-Radja
fast_food,POINT (9.1825326 45.4675903),Istanbul Ayasofya
cafe,POINT (9.1789125 45.467857),Majestic
cafe,POINT (9.1800435 45.4677539),Caffè Teatro Foro Buonaparte
cafe,POINT (9.1809797 45.467893),Gran Caffè al Foro
cafe,POINT (9.1815997 45.4681595),Van Bol & Feste
restaurant,POINT (9.1853824 45.4694618),Wasabi
cafe,POINT (9.1851527 45.4700626),Caffè del Carmine
bar,POINT (9.1849823 45.4715931),Noor
restaurant,POINT (9.1855294 45.4719324),Ristorante Il Cestino
fast_food,POINT (9.1816449 45.4669817),Bella Dentro Kitchen
restaurant,POINT (9.1721063 45.4688717),Chiù
restaurant,POINT (9.1713202 45.4694801),Cecco
cafe,POINT (9.1852772 45.4686804),Giusto Gusto
cafe,POINT (9.1833117 45.4672661),Caffè Dante
fast_food,POINT (9.1832268 45.4676548),McDonald's
cafe,POINT (9.1831158 45.467739),Café de Ville
restaurant,POINT (9.181269 45.4674072),Quattro Mori
restaurant,POINT (9.1814724 45.4683546),Farinella
restaurant,POINT (9.1853649 45.4719127),Petrus
restaurant,POINT (9.1833286 45.4675564),Fresco
fast_food,POINT (9.1829934 45.4608142),Alice pizza
cafe,POINT (9.1805173 45.460061),Fruteiro
cafe,POINT (9.1830595 45.4719719),Fruteiro
cafe,POINT (9.184686 45.4609462),Eatme&Go
fast_food,POINT (9.1818945 45.460662),McDonald's
restaurant,POINT (9.1834537 45.4606726),Hawaii Poke
cafe,POINT (9.1819082 45.4656718),Meravigli 13
fast_food,POINT (9.1842751 45.4665309),Rom'antica
restaurant,POINT (9.1810535 45.4685572),Serendipico
restaurant,POINT (9.1833265 45.4611083),Nerino Dieci Trattoria
bar,POINT (9.1779021 45.4682266),Sloan Square
restaurant,POINT (9.181255 45.4664861),Andry Bistrot
cafe,POINT (9.1811296 45.4667296),Petit Bistrot
restaurant,POINT (9.1833309 45.4664616),Riso e Latte
restaurant,POINT (9.181524 45.4591224),Puglia Mia
restaurant,POINT (9.1779475 45.4655863),Verdi's
bar,POINT (9.1775475 45.4658211),Happy Bar
restaurant,POINT (9.18532 45.468455),Bar Miró
cafe,POINT (9.1674321 45.4606082),Bar Tabaccheria Filangieri
restaurant,POINT (9.1755994 45.460353),Vento di Sardegna
cafe,POINT (9.1747425 45.4684934),Café Nord 2000
restaurant,POINT (9.1741956 45.4622739),Primus Bistrot
restaurant,POINT (9.1728026 45.4626968),Simon's
cafe,POINT (9.1763952 45.4687328),Patti bakery & bistrot
fast_food,POINT (9.173066 45.4681536),La Piadineria
restaurant,POINT (9.1742423 45.468242),Miscusi
restaurant,POINT (9.184964 45.4672698),Taberna San Tomaso
cafe,POINT (9.1828264 45.470268),Sella Cafè
cafe,POINT (9.1830291 45.4720812),Cafè Rivoli
cafe,POINT (9.1829881 45.4722379),Dolce e Amaro
restaurant,POINT (9.1825909 45.4712732),Senzatempo Bistrot
restaurant,POINT (9.1806693 45.4658805),Pizzeria Meucci
restaurant,POINT (9.1843015 45.4704237),Momus
pub,POINT (9.1853897 45.4620417),The English Football Pub
cafe,POINT (9.1763077 45.4688345),La Rocchetta
restaurant,POINT (9.1781535 45.4588626),Pizzeria Naturale
cafe,POINT (9.1818105 45.4690445),Bar Castello
cafe,POINT (9.1839223 45.4609125),Café Saint George
fast_food,POINT (9.1802991 45.4687781),Al Politico
fast_food,POINT (9.1808881 45.4654126),L'Isola della Piadina
cafe,POINT (9.1827097 45.4689324),Caffè Olimpia
cafe,POINT (9.1654755 45.4701224),Pitti Caffè
restaurant,POINT (9.1719645 45.4686306),Smooshi
fast_food,POINT (9.1686083 45.4710648),L'Ov Milano
cafe,POINT (9.1790528 45.4705238),Calicantus
restaurant,POINT (9.1836893 45.4725842),Le Cotolette
restaurant,POINT (9.1832673 45.4717989),Osteria Gloria
restaurant,POINT (9.1839398 45.4726817),The FisherMan Pasta
fast_food,POINT (9.1839526 45.4726224),Baobab
restaurant,POINT (9.1837703 45.4721169),Rovello 18
pub,POINT (9.1764585 45.4657555),Ai Tre Morsi
cafe,POINT (9.1750668 45.4638731),Parenthesy
fast_food,POINT (9.1752056 45.4675338),Panini Durini
restaurant,POINT (9.1827149 45.4672578),Locatelli
restaurant,POINT (9.1741366 45.4722263),Terrazza Triennale - Osteria con vista
cafe,POINT (9.1731163 45.4673516),Dosso 18
restaurant,POINT (9.172577 45.4675949),Acero Rosso
restaurant,POINT (9.1723303 45.4675912),Natural Break
restaurant,POINT (9.1729416 45.4682579),Ghe Sem
restaurant,POINT (9.1826408 45.4631244),Flow
restaurant,POINT (9.1791162 45.4595489),Viva
fast_food,POINT (9.181033 45.4595674),Hamerica's
cafe,POINT (9.1685237 45.471244),Di Lillo
fast_food,POINT (9.1680852 45.4719399),Fatto Bene Burger
cafe,POINT (9.1680939 45.472366),Bar Impero
bar,POINT (9.1780286 45.4649211),Niro Meet Bar
cafe,POINT (9.1843528 45.4713474),Pandenus
fast_food,POINT (9.1796764 45.4656274),Panini De Santis - Magenta
cafe,POINT (9.1778296 45.466045),Boccascena Cafè
cafe,POINT (9.1726923 45.4675966),Puccia's Brothers
cafe,POINT (9.1703071 45.4675185),Bar Il Cenacolo
cafe,POINT (9.170467 45.46567),Le Grazie
cafe,POINT (9.1737148 45.467309),L'Alter Bar
cafe,POINT (9.1717602 45.4687869),Shed Bar
restaurant,POINT (9.1722142 45.4687972),Pizzeria Biagio
cafe,POINT (9.1713229 45.4690683),Caffè Monti
restaurant,POINT (9.171905 45.4690833),Viveca
restaurant,POINT (9.1707704 45.4695197),Mamma Oliva
fast_food,POINT (9.1801833 45.4588372),Ciaccia coi ciccioli
cafe,POINT (9.1855008 45.4701363),God Save the Food
restaurant,POINT (9.1845173 45.4673319),Andry
cafe,POINT (9.1784039 45.4680025),Caffè Napoli
restaurant,POINT (9.1797484 45.4656177),Bistrò
restaurant,POINT (9.1793615 45.4658096),Parco Sushi
restaurant,POINT (9.1771781 45.4662107),"Tutto bene, grazie"
cafe,POINT (9.1792649 45.4658204),Il Magentino
fast_food,POINT (9.1802707 45.4657593),Artisti del vegetariano
fast_food,POINT (9.1769944 45.4659417),La Piadineria
restaurant,POINT (9.1785032 45.463958),Organya - The Italian Bowl
cafe,POINT (9.1784871 45.464053),Caffè Santa Valeria
cafe,POINT (9.1803646 45.4640587),Bar El Canton
cafe,POINT (9.1785997 45.4639063),Arnold Coffee
cafe,POINT (9.1796847 45.460695),Caffè Le Tre Vie
bar,POINT (9.1767986 45.4602435),Barcollando
cafe,POINT (9.1771178 45.4602717),Just Cafè
fast_food,POINT (9.1765505 45.4607374),Piadineria Giulia
cafe,POINT (9.1773954 45.4604843),Bar Al Due
cafe,POINT (9.1757001 45.4609048),Time Cafè
cafe,POINT (9.176407 45.460774),Crumb
bar,POINT (9.1654883 45.4595137),Caffè del Sole
restaurant,POINT (9.1795252 45.4588329),La Crota - Trattoria con pizza
restaurant,POINT (9.1845086 45.4592097),Sarla
restaurant,POINT (9.1839333 45.4596246),Bistrot Santa Maria Valle
cafe,POINT (9.1838434 45.4606047),
fast_food,POINT (9.1844691 45.4610477),Pizzeria Grill
restaurant,POINT (9.1852288 45.4607082),Rossini
restaurant,POINT (9.1800763 45.4596969),Pasta d'Autore
restaurant,POINT (9.1834453 45.4671387),Signorvino
fast_food,POINT (9.1834537 45.4626154),B Cafè
cafe,POINT (9.1761401 45.4660984),Guido Gobino
cafe,POINT (9.1843474 45.4632427),Caffè del Bollo
restaurant,POINT (9.1843879 45.4626374),Cervìn
fast_food,POINT (9.1835752 45.4625612),La Caveja
restaurant,POINT (9.1837683 45.4632573),Ristorante De Bini
cafe,POINT (9.1836315 45.46236),Bar Santa Marta
restaurant,POINT (9.1832131 45.4618953),La Fettunta
restaurant,POINT (9.1819887 45.4641546),Ristorante Hostaria Borromei
cafe,POINT (9.1829489 45.4642035),Viky Bar
cafe,POINT (9.1818345 45.464734),Il Gusto del Caffè
cafe,POINT (9.1817178 45.4628961),Caffè Sant'Orsola
restaurant,POINT (9.1793199 45.4643766),Da Zero
restaurant,POINT (9.1803016 45.46526),Ristorante La Brisa
cafe,POINT (9.1781732 45.4652542),La Fontanella
cafe,POINT (9.1782363 45.4655251),Maria Vi
fast_food,POINT (9.1815636 45.4696079),Chiosco Squadre Calcio
restaurant,POINT (9.1846474 45.4653172),Baccanale
restaurant,POINT (9.1847405 45.4701944),Convivium
restaurant,POINT (9.175359 45.4651965),Boccondivino
fast_food,POINT (9.1781786 45.4652086),Garage 5
fast_food,POINT (9.1782148 45.4654479),Poke House
restaurant,POINT (9.1810982 45.4657555),Cucca
bar,POINT (9.1690055 45.4679093),Tommasi
conference_centre,POINT (9.1808028 45.4678515),Fondazione Matalon
restaurant,POINT (9.1844308 45.470965),Lo's
cafe,POINT (9.1843249 45.4713986),Emma Coffee and Bakery
restaurant,POINT (9.1825895 45.4674936),United Tastes of Hamerica's
restaurant,POINT (9.1824916 45.4676272),Caveau
restaurant,POINT (9.1843182 45.4673507),La Felicità
cafe,POINT (9.1850571 45.4659013),Caffetteria Dante
restaurant,POINT (9.1817312 45.4670948),Caffè degli Artisti
restaurant,POINT (9.1807039 45.4659248),Burla giò
cafe,POINT (9.1832922 45.4678595),Clichè Cafè
restaurant,POINT (9.1662562 45.4663396),L'Uccellina
cafe,POINT (9.1691905 45.465763),Leonardo Bistrot
cinema,POINT (9.1686487 45.4652269),Cineteatro San Carlo
cafe,POINT (9.1731119 45.4639364),Bar Anny
restaurant,POINT (9.1847659 45.4616843),Ronchi 78
cafe,POINT (9.1727061 45.4610463),Daniel e il Caffè
cafe,POINT (9.1732581 45.4615002),Caffè De Amicis
post_office,POINT (9.1830289 45.4664204),Nexive
cafe,POINT (9.1833126 45.4665044),Bravo
restaurant,POINT (9.1728546 45.4591599),Chef Express
restaurant,POINT (9.1812648 45.4603784),Pane e Vino
cafe,POINT (9.1705276 45.4594524),So Natural
cafe,POINT (9.1713818 45.4601683),Gran Cafè Olona
cafe,POINT (9.1695472 45.4604363),Caffè Portioli
cafe,POINT (9.1683872 45.4593),Garden Caffè
cafe,POINT (9.1775739 45.4584812),Pasticceria Cucchi
fast_food,POINT (9.1758625 45.4653962),Hamerica's
cafe,POINT (9.1766122 45.4659286),Caffè Napoli
restaurant,POINT (9.1768026 45.4659474),Osteria Al 29
restaurant,POINT (9.1848426 45.4715058),La Tartina
restaurant,POINT (9.1849338 45.4715162),Panini De Santis - Brera
cafe,POINT (9.1845435 45.4715049),Tailor & Coffee
cafe,POINT (9.1854742 45.4720024),Montmartre Cafe
cafe,POINT (9.1848654 45.4656614),Bar Rubin
restaurant,POINT (9.1661098 45.4601178),Giappugliese
restaurant,POINT (9.1673344 45.4599594),Ristorante Le Capannelle
cafe,POINT (9.1841364 45.4718483),Bar Cinque Stelle
bar,POINT (9.1812779 45.458903),Coffee&Shop Amadeus
fast_food,POINT (9.1662271 45.4659131),Gourmand il panino d'autore
cafe,POINT (9.1849173 45.4666105),Caffè Letterario
restaurant,POINT (9.1808871 45.4641005),DaDa in Taverna
restaurant,POINT (9.1810167 45.4641825),Organic
bar,POINT (9.1774385 45.4592132),Wave Cocktail Bar
pub,POINT (9.1745576 45.4584882),La Buca di San Vincenzo
cafe,POINT (9.1765666 45.4584092),Hygge
restaurant,POINT (9.184427 45.4626738),Pasto - Laboratorio di pasta con cucina
fast_food,POINT (9.1739023 45.4593705),Pizzeria Sant'Ambrogio
restaurant,POINT (9.1718445 45.4602622),Shanti
restaurant,POINT (9.185548 45.4619533),Pomet
restaurant,POINT (9.1821872 45.4651817),Maui
restaurant,POINT (9.1806597 45.4604561),Fabregas
cafe,POINT (9.1806047 45.4604871),Bar Sotto Torchio
cafe,POINT (9.1799636 45.4596565),
cafe,POINT (9.1782148 45.4592285),
fast_food,POINT (9.1839155 45.4635269),La Piadineria
restaurant,POINT (9.1795184 45.4596791),Sensei
cafe,POINT (9.1755703 45.4685079),Acafè
fast_food,POINT (9.1756243 45.4685417),Burger King
fast_food,POINT (9.1756823 45.468296),Piadina di Casa Maioli
cafe,POINT (9.1757769 45.4683081),Cioccolatitaliani
restaurant,POINT (9.1784979 45.4586086),Frank Pizza
fast_food,POINT (9.1765102 45.4682849),Yours Bubble Tea
restaurant,POINT (9.1809709 45.4586986),Pasta d'Autore
fast_food,POINT (9.1814271 45.4600208),Panino Giusto
cafe,POINT (9.1810195 45.4591435),San Miguel
restaurant,POINT (9.181337 45.4595891),Berberè
restaurant,POINT (9.1812791 45.4589438),Wok on the Go
restaurant,POINT (9.1660339 45.4595158),Top Pan Wok
fast_food,POINT (9.1818959 45.4600201),Green Day Natural Food and Bar
cafe,POINT (9.1803035 45.4597788),Pan Caffè Correnti
fast_food,POINT (9.1728684 45.4674833),Oakberry
restaurant,POINT (9.1706495 45.4656769),Toyoshu
restaurant,POINT (9.1738859 45.4675253),Zakuro
restaurant,POINT (9.1837616 45.4721978),La Martina
bar,POINT (9.180958 45.4586395),Tutti Fritti
restaurant,POINT (9.1829449 45.4665427),Basement
restaurant,POINT (9.1654907 45.4657923),Assaje
fast_food,POINT (9.1786855 45.4591542),
fast_food,POINT (9.1785555 45.4590987),Oliva
cafe,POINT (9.1724227 45.4607897),Elegant coffee
restaurant,POINT (9.1719456 45.4603551),Pizzeria Olona
restaurant,POINT (9.1737552 45.4672765),TED Lobster and Burgers Milano
restaurant,POINT (9.1728635 45.4624822),Bebel
cafe,POINT (9.1693807 45.4667604),
cafe,POINT (9.1830736 45.4665945),Camperio Lounge Bar
events_venue,POINT (9.1666362 45.4631302),HUB42
restaurant,POINT (9.1729084 45.4626692),Ichiro
cafe,POINT (9.1717174 45.4628375),Caffè Ambrosiano
bar,POINT (9.1727605 45.4627078),Marco's
restaurant,POINT (9.1754848 45.4650031),Nico
cafe,POINT (9.1754709 45.4645075),Sant'Ambrogio Cafè
restaurant,POINT (9.1818666 45.4592151),Miscusi
theatre,POINT (9.1779104 45.4660207),MTM Teatro Litta
cafe,POINT (9.1742607 45.4726161),Caffè in giardino
restaurant,POINT (9.1826606 45.4673573),Neo Kisho
fast_food,POINT (9.1810163 45.4590699),Burgez
cafe,POINT (9.165105 45.4673657),Bebel
cafe,POINT (9.1759119 45.4665875),Oro Nero
restaurant,POINT (9.167263 45.4638455),Bistro Aimo e Nadia
restaurant,POINT (9.18486 45.4718804),IT
restaurant,POINT (9.1690134 45.4657424),Galli Pizza & More
fast_food,POINT (9.1743097 45.4658284),PaninoLAB
fast_food,POINT (9.1766823 45.4683857),Il chiosco di Lory
fast_food,POINT (9.177052 45.4663185),PokéSamba
theatre,POINT (9.1799904 45.4595286),Teatro Arsenale
fast_food,POINT (9.1851789 45.4607991),Tiello
restaurant,POINT (9.1735694 45.4674166),California Bakery
bar,POINT (9.166424 45.467478),Bar Peter Pan
restaurant,POINT (9.1854662 45.461982),Contrada Govinda
restaurant,POINT (9.1854047 45.4719138),Osteria Da Fortunata
fast_food,POINT (9.1841836 45.4665988),Five Guys
fast_food,POINT (9.1822143 45.4605141),Mason's Lobster Rolls
fast_food,POINT (9.176197 45.4660893),Alice
fast_food,POINT (9.1824088 45.4596446),Pizzeria Positano
restaurant,POINT (9.178229 45.4583423),Pizzikotto
cafe,POINT (9.1810113 45.4600368),Atipico caffè
restaurant,POINT (9.1845042 45.4663555),Quore Italiano
post_office,POINT (9.1817754 45.4712255),DHL
fast_food,POINT (9.1732501 45.4681133),Poke House
restaurant,POINT (9.1845837 45.4662742),Hard Rock Cafe
cafe,POINT (9.176114 45.4680921),Tentazioni cafè
theatre,POINT (9.1723201 45.459327),Dedalo teatro
restaurant,POINT (9.1806223 45.4603395),Materia
restaurant,POINT (9.1846412 45.4671533),Food su misura
restaurant,POINT (9.1716353 45.4585186),HN Restaurant & Bar
cafe,POINT (9.1782911 45.4587058),Mag La Pusterla
restaurant,POINT (9.1839679 45.4713818),La casa iberica
fast_food,POINT (9.1847627 45.4660324),Poker House
fast_food,POINT (9.183882 45.4659431),La farcia
bar,POINT (9.1818494 45.4596927),Foresta woodbar
cafe,POINT (9.1676959 45.4622931),Mealthie
restaurant,POINT (9.1845206 45.4619153),La corte di San Maurilio
restaurant,POINT (9.1850626 45.4616675),Empanadas
restaurant,POINT (9.1711025 45.4587129),Luckymo - Pub & Restaurant
restaurant,POINT (9.1709487 45.4590014),Nelson pub
restaurant,POINT (9.176166 45.466372),Kungfu Bao2
restaurant,POINT (9.1757966 45.4602109),DedasPuri
restaurant,POINT (9.1726192 45.4675985),
cafe,POINT (9.1679398 45.4716754),Bounty
fast_food,POINT (9.1815875 45.4657893),Poke away
fast_food,POINT (9.1810943 45.4599359),La Piadineria
restaurant,POINT (9.1653405 45.4599389),Mappamondo Royal
restaurant,POINT (9.1833302 45.458424),East River American Pub
bar,POINT (9.1805832 45.4589261),Bar Cuore
bar,POINT (9.1803391 45.4588716),Raboucer
restaurant,POINT (9.1782423 45.4587092),Viaggi nel Gusto
cafe,POINT (9.1677971 45.4721702),Felicetta Café & Bistrot
restaurant,POINT (9.1828689 45.4598785),Via Stampa Bistrot
cafe,POINT (9.1664729 45.4660558),Cafezal
restaurant,POINT (9.1810502 45.465465),Toyama 2
restaurant,POINT (9.1847029 45.4718486),Trattoria del Ciumbia
fast_food,POINT (9.1810362 45.4592572),Romoletto Street Food
cafe,POINT (9.1810348 45.4593018),Caffè Napoli
restaurant,POINT (9.1852324 45.4686799),Obicà Mozzarella Bar - Cusani
restaurant,POINT (9.1767586 45.4595085),Coral
fast_food,POINT (9.1813469 45.4596731),Bali’s turkish kebap
restaurant,POINT (9.1824598 45.4607504),Come 'na vorta
restaurant,POINT (9.1849031 45.4617081),San Maurì
cafe,POINT (9.1850917 45.461575),Le Jardin Bistrot
fast_food,POINT (9.176289 45.4686732),No gender kitchen
restaurant,POINT (9.1814551 45.4609761),Piperita
restaurant,POINT (9.1812626 45.4587246),San Lorenzo
fast_food,POINT (9.1810214 45.4591076),Dumpling My Wèi
restaurant,POINT (9.1766955 45.4606976),Blue M
restaurant,POINT (9.181092 45.4654128),
cafe,POINT (9.1819376 45.4683839),
cafe,POINT (9.173941 45.4658036),Amaretto Caffé
cafe,POINT (9.1812353 45.4645122),Baltic bar
restaurant,POINT (9.6347287 45.143051),Somaglia est
post_office,POINT (9.6359455 45.1482016),Ufficio Postale
bar,POINT (9.6334693 45.1490372),Bar Al Semaforo
restaurant,POINT (9.6353639 45.1456312),da Rino
pub,POINT (9.1707677 45.4588109),The Old Fox Pub
theatre,POINT (9.1847704 45.4666453),Piccolo Teatro Grassi
pub,POINT (9.175656 45.465692),Bar Magenta
cinema,POINT (9.1660225 45.4690603),Ariosto Spaziocinema
cinema,POINT (9.1826282 45.4608342),Eliseo
bar,POINT (9.1824539 45.4589965),Yguana
restaurant,POINT (9.1714761 45.4598362),Lleva Taps
post_office,POINT (9.1763983 45.466662),Milano 28
cafe,POINT (9.1670469 45.4716994),Amore Sicilian Bakery
cafe,POINT (9.168679 45.4711402),
restaurant,POINT (9.172065 45.4685651),Osteria della Via Appia
cafe,POINT (9.1740935 45.4676783),Chocolat
cafe,POINT (9.176518 45.4675119),La Rocchetta Caffe Bistrot​
restaurant,POINT (9.1774613 45.4595842),Pummà Milano
cafe,POINT (9.1847868 45.4690024),Good Fellas
bar,POINT (9.1821683 45.4591129),Cheese
restaurant,POINT (9.1745645 45.4679306),Temakinho
bar,POINT (9.182179 45.4596949),20 - Twenty
post_office,POINT (9.181297 45.4590073),Milano 21
bar,POINT (9.182812 45.4594315),La Hora Feliz
restaurant,POINT (9.1810584 45.4597139),Jin Yong
bar,POINT (9.1760492 45.4661387),12oz Coffee Joint
restaurant,POINT (9.1762762 45.4664988),Cantina Carducci
cafe,POINT (9.1738321 45.4623963),Caffè Carducci
cafe,POINT (9.1735413 45.4624886),Queen's Bar Tabacchi
cafe,POINT (9.1760894 45.468519),Marinoni
fast_food,POINT (9.1733347 45.4623185),Alice pizza al taglio
restaurant,POINT (9.1849794 45.469671),Salsamenteria di Parma
post_office,POINT (9.1851513 45.4646766),Milano Centro
fast_food,POINT (9.1780847 45.4592903),Lato Mare
restaurant,POINT (9.1763139 45.4655341),Osteria La Carbonella
cafe,POINT (9.1761146 45.4655298),Actors' Studio Cafe
cafe,POINT (9.1729422 45.4588929),Ariberto diciannove
fast_food,POINT (9.1815499 45.4601822),Five Guys
restaurant,POINT (9.1824612 45.459616),Le Scimmiette
cafe,POINT (9.1846777 45.4586416),
cafe,POINT (9.172726 45.468407),Sugar Milano
cafe,POINT (9.1854373 45.4714592),Di Viole
bar,POINT (9.1840313 45.4652176),Dito Divino
restaurant,POINT (9.1810141 45.4591926),Tasca
restaurant,POINT (9.1811734 45.4653965),La Colonna
cafe,POINT (9.1828833 45.4658742),Meravigli Caffè
restaurant,POINT (9.1810474 45.4654792),Dalla Pagnotta
cafe,POINT (9.1803502 45.4657637),AnticCùccá
cafe,POINT (9.1843323 45.4658238),Galleria Meravigli Bistrot
fast_food,POINT (9.1758893 45.4657052),Panini Durini
restaurant,POINT (9.1840115 45.4635997),Cinque Vie
restaurant,POINT (9.1855062 45.4717191),Taverna del Borgo Antico
restaurant,POINT (9.1835919 45.462983),Ristorante Santa Marta
restaurant,POINT (9.1836757 45.4629296),Trattoria Milanese
cafe,POINT (9.1837206 45.4685747),Cusani Caffè
restaurant,POINT (9.1841885 45.4716544),Obicà
restaurant,POINT (9.1845058 45.4717374),Torre di Pisa
cafe,POINT (9.1696626 45.4585622),
university,POINT (9.1691011 45.463955),Università Cattolica del Sacro Cuore
restaurant,POINT (9.1740873 45.4623084),California Bakery
restaurant,POINT (9.1729884 45.4682134),Da Cenciaioli
bar,POINT (9.1825646 45.4591258),Gaina café
restaurant,POINT (9.1847903 45.4715625),Ristorante Toscano al Pozzo
restaurant,POINT (9.1652601 45.4670377),Kota-Radja
fast_food,POINT (9.1825326 45.4675903),Istanbul Ayasofya
cafe,POINT (9.1789125 45.467857),Majestic
cafe,POINT (9.1800435 45.4677539),Caffè Teatro Foro Buonaparte
cafe,POINT (9.1809797 45.467893),Gran Caffè al Foro
cafe,POINT (9.1815997 45.4681595),Van Bol & Feste
restaurant,POINT (9.1853824 45.4694618),Wasabi
cafe,POINT (9.1851527 45.4700626),Caffè del Carmine
bar,POINT (9.1849823 45.4715931),Noor
restaurant,POINT (9.1855294 45.4719324),Ristorante Il Cestino
fast_food,POINT (9.1816449 45.4669817),Bella Dentro Kitchen
restaurant,POINT (9.1721063 45.4688717),Chiù
restaurant,POINT (9.1713202 45.4694801),Cecco
cafe,POINT (9.1852772 45.4686804),Giusto Gusto
cafe,POINT (9.1833117 45.4672661),Caffè Dante
fast_food,POINT (9.1832268 45.4676548),McDonald's
cafe,POINT (9.1831158 45.467739),Café de Ville
restaurant,POINT (9.181269 45.4674072),Quattro Mori
restaurant,POINT (9.1814724 45.4683546),Farinella
restaurant,POINT (9.1853649 45.4719127),Petrus
restaurant,POINT (9.1833286 45.4675564),Fresco
fast_food,POINT (9.1829934 45.4608142),Alice pizza
cafe,POINT (9.1805173 45.460061),Fruteiro
cafe,POINT (9.1830595 45.4719719),Fruteiro
cafe,POINT (9.184686 45.4609462),Eatme&Go
fast_food,POINT (9.1818945 45.460662),McDonald's
restaurant,POINT (9.1834537 45.4606726),Hawaii Poke
cafe,POINT (9.1819082 45.4656718),Meravigli 13
fast_food,POINT (9.1842751 45.4665309),Rom'antica
restaurant,POINT (9.1810535 45.4685572),Serendipico
restaurant,POINT (9.1833265 45.4611083),Nerino Dieci Trattoria
bar,POINT (9.1779021 45.4682266),Sloan Square
restaurant,POINT (9.181255 45.4664861),Andry Bistrot
cafe,POINT (9.1811296 45.4667296),Petit Bistrot
restaurant,POINT (9.1833309 45.4664616),Riso e Latte
restaurant,POINT (9.181524 45.4591224),Puglia Mia
restaurant,POINT (9.1779475 45.4655863),Verdi's
bar,POINT (9.1775475 45.4658211),Happy Bar
restaurant,POINT (9.18532 45.468455),Bar Miró
cafe,POINT (9.1674321 45.4606082),Bar Tabaccheria Filangieri
restaurant,POINT (9.1755994 45.460353),Vento di Sardegna
cafe,POINT (9.1747425 45.4684934),Café Nord 2000
restaurant,POINT (9.1741956 45.4622739),Primus Bistrot
restaurant,POINT (9.1728026 45.4626968),Simon's
cafe,POINT (9.1763952 45.4687328),Patti bakery & bistrot
fast_food,POINT (9.173066 45.4681536),La Piadineria
restaurant,POINT (9.1742423 45.468242),Miscusi
restaurant,POINT (9.184964 45.4672698),Taberna San Tomaso
cafe,POINT (9.1828264 45.470268),Sella Cafè
cafe,POINT (9.1830291 45.4720812),Cafè Rivoli
cafe,POINT (9.1829881 45.4722379),Dolce e Amaro
restaurant,POINT (9.1825909 45.4712732),Senzatempo Bistrot
restaurant,POINT (9.1806693 45.4658805),Pizzeria Meucci
restaurant,POINT (9.1843015 45.4704237),Momus
restaurant,POINT (9.185553 45.4715757),Tiramisu Delishoes Milano
pub,POINT (9.1853897 45.4620417),The English Football Pub
cafe,POINT (9.1763077 45.4688345),La Rocchetta
restaurant,POINT (9.1781535 45.4588626),Pizzeria Naturale
cafe,POINT (9.1818105 45.4690445),Bar Castello
cafe,POINT (9.1839223 45.4609125),Café Saint George
fast_food,POINT (9.1802991 45.4687781),Al Politico
fast_food,POINT (9.1808881 45.4654126),L'Isola della Piadina
cafe,POINT (9.1827097 45.4689324),Caffè Olimpia
cafe,POINT (9.1654755 45.4701224),Pitti Caffè
restaurant,POINT (9.1719645 45.4686306),Smooshi
fast_food,POINT (9.1686083 45.4710648),L'Ov Milano
cafe,POINT (9.1790528 45.4705238),Calicantus
restaurant,POINT (9.1836893 45.4725842),Le Cotolette
restaurant,POINT (9.1832673 45.4717989),Osteria Gloria
restaurant,POINT (9.1839398 45.4726817),The FisherMan Pasta
fast_food,POINT (9.1839526 45.4726224),Baobab
restaurant,POINT (9.1837703 45.4721169),Rovello 18
pub,POINT (9.1764585 45.4657555),Ai Tre Morsi
cafe,POINT (9.1750668 45.4638731),Parenthesy
fast_food,POINT (9.1752056 45.4675338),Panini Durini
restaurant,POINT (9.1827149 45.4672578),Locatelli
restaurant,POINT (9.1741366 45.4722263),Terrazza Triennale - Osteria con vista
cafe,POINT (9.1731163 45.4673516),Dosso 18
restaurant,POINT (9.172577 45.4675949),Acero Rosso
restaurant,POINT (9.1723303 45.4675912),Natural Break
restaurant,POINT (9.1729416 45.4682579),Ghe Sem
restaurant,POINT (9.1826408 45.4631244),Flow
restaurant,POINT (9.1791162 45.4595489),Viva
fast_food,POINT (9.181033 45.4595674),Hamerica's
cafe,POINT (9.1685237 45.471244),Di Lillo
fast_food,POINT (9.1680852 45.4719399),Fatto Bene Burger
cafe,POINT (9.1680939 45.472366),Bar Impero
bar,POINT (9.1780286 45.4649211),Niro Meet Bar
cafe,POINT (9.1843528 45.4713474),Pandenus
fast_food,POINT (9.1796764 45.4656274),Panini De Santis - Magenta
cafe,POINT (9.1778296 45.466045),Boccascena Cafè
cafe,POINT (9.1726923 45.4675966),Puccia's Brothers
cafe,POINT (9.1703071 45.4675185),Bar Il Cenacolo
cafe,POINT (9.170467 45.46567),Le Grazie
cafe,POINT (9.1737148 45.467309),L'Alter Bar
cafe,POINT (9.1717602 45.4687869),Shed Bar
